backbone,dataset,method,train_seed,gate_status,gate_floor,score,calibration,alpha,rho_cal,rho_test,split_seed,n_eval,worst_group_acc,base_top1,marginal_cov,worst_group,worst_group_cov,mean_group_cov,cov_range,n_cal_worst_group,cov_gap,mean_set_size,worst_group_set_size,set_size_disparity,div_wasserstein1,div_ks_stat,div_ks_pvalue,rho_cal_realized,rho_test_realized
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.8,0,2622,0.5095986038394416,0.8806254767353165,0.8508771929824561,2,0.5458015267175572,0.7793900406785088,0.39032812056556954,66,0.3541984732824428,0.9813119755911518,1.034351145038168,0.09824332879732778,0.18549671404039428,0.3495245180489067,3.359199663638484e-26,0.9496567505720824,0.8001525553012967
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.8,1,2622,0.5095986038394416,0.8951182303585049,0.8482074752097636,2,0.5038167938931297,0.7641201362257038,0.41515365415262817,66,0.3961832061068703,0.9679633867276888,1.0305343511450382,0.11062516828095104,0.21128628682811423,0.3970241945917971,6.273674593929886e-34,0.9496567505720824,0.8001525553012967
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.8,2,2622,0.5095986038394416,0.8974065598779558,0.8573607932875668,2,0.5305343511450382,0.774851003136393,0.4151281846032935,66,0.3694656488549618,0.979023646071701,1.0801526717557253,0.12209738100262713,0.1919998925183117,0.37672402639410013,1.762022215329692e-30,0.9496567505720824,0.8001525553012967
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.8,3,2622,0.5095986038394416,0.8867276887871853,0.8565980167810832,2,0.5419847328244275,0.7829648738529607,0.38842518137957627,66,0.3580152671755725,0.9824561403508771,1.0419847328244274,0.11254630000218324,0.17645720653342595,0.35463514038038557,5.635584728115983e-27,0.9496567505720824,0.8001525553012967
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.8,4,2622,0.5095986038394416,0.8886346300533944,0.8665141113653699,2,0.5534351145038168,0.7913088801403009,0.39413399893755596,66,0.34656488549618325,0.9950419527078566,1.0610687022900764,0.13451196704968016,0.19212991460823997,0.3495309871910985,3.359199663049856e-26,0.9496567505720824,0.8001525553012967
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.8,5,2622,0.5095986038394416,0.8951182303585049,0.8691838291380626,2,0.5916030534351145,0.802283527023192,0.35119961577365566,66,0.3083969465648855,0.9946605644546148,1.133587786259542,0.17171934012036183,0.19048235065463115,0.3300653383361366,2.4183815208840315e-23,0.9496567505720824,0.8001525553012967
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.8,6,2622,0.5095986038394416,0.893211289092296,0.8531655225019069,2,0.5038167938931297,0.7736612113317664,0.43993916416216106,66,0.3961832061068703,0.9725400457665904,1.0419847328244274,0.08678930861089074,0.20779066346761207,0.3974899728296028,5.290141545780203e-34,0.9496567505720824,0.8001525553012967
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.8,7,2622,0.5095986038394416,0.8806254767353165,0.8386727688787186,2,0.5152671755725191,0.76102558598156,0.4056098501662797,66,0.3847328244274809,0.9691075514874142,1.0725190839694656,0.13924930322590034,0.2100184011315942,0.3736964678483633,5.391365447751512e-30,0.9496567505720824,0.8001525553012967
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.8,8,2622,0.5095986038394416,0.88558352402746,0.8520213577421816,2,0.5152671755725191,0.7657874820803527,0.4275354936362511,66,0.3847328244274809,0.982837528604119,1.0763358778625953,0.11923387595601764,0.20419881940791856,0.3766819769698538,1.762022216129115e-30,0.9496567505720824,0.8001525553012967
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.8,9,2622,0.5095986038394416,0.893211289092296,0.8501144164759725,2,0.5687022900763359,0.7803451487785532,0.3512214468159425,66,0.33129770992366414,0.975209763539283,1.0572519083969465,0.11254266149513525,0.18672817691583188,0.3346875404321387,5.208384746039587e-24,0.9496567505720824,0.8001525553012967
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.7,0,2622,0.5095986038394416,0.8508771929824561,0.8268497330282227,2,0.539440203562341,0.7766801377039365,0.4028255916446306,66,0.360559796437659,0.9900839054157132,1.0407124681933841,0.08756174225415359,0.17942265995851128,0.3521244935770328,2.0179211307851314e-37,0.9496567505720824,0.700228832951945
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.7,1,2622,0.5095986038394416,0.8638443935926774,0.8215102974828375,2,0.49363867684478374,0.765955279482446,0.4257513013687239,66,0.4063613231552163,0.9721586575133486,1.0279898218829517,0.104616740674217,0.21153144584362646,0.39060750208048656,3.266744306106476e-46,0.9496567505720824,0.700228832951945
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.7,2,2622,0.5095986038394416,0.8642257818459191,0.8283752860411899,2,0.5165394402035624,0.773040047231785,0.4235477057659366,66,0.38346055979643767,0.984744469870328,1.0559796437659033,0.1017312777528313,0.19596679468284658,0.37165195771218396,9.466808230163562e-42,0.9496567505720824,0.700228832951945
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.7,3,2622,0.5095986038394416,0.8478260869565217,0.8253241800152555,2,0.5114503816793893,0.7723166026376623,0.41883284272148213,66,0.38854961832061075,0.9927536231884058,1.0585241730279897,0.11081175472733618,0.20068031889595267,0.3736999099311984,3.193855036785852e-42,0.9496567505720824,0.700228832951945
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.7,4,2622,0.5095986038394416,0.8573607932875668,0.8436308161708619,2,0.5674300254452926,0.7948473282442748,0.3802823928553609,66,0.3325699745547074,1.009534706331045,1.094147582697201,0.12573799664055607,0.18619263146918105,0.3266928996332179,3.672639978576364e-32,0.9496567505720824,0.700228832951945
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.7,5,2622,0.5095986038394416,0.8619374523264683,0.8455377574370709,2,0.5776081424936387,0.7973003875002079,0.36683630195080574,66,0.32239185750636135,1.0045766590389016,1.1145038167938932,0.15045152921219385,0.18793238353388592,0.32690180445823447,3.3756066953060686e-32,0.9496567505720824,0.700228832951945
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.7,6,2622,0.5095986038394416,0.8615560640732265,0.8306636155606407,2,0.5343511450381679,0.7794034492507775,0.4122719486437493,66,0.3656488549618321,0.9843630816170862,1.0610687022900764,0.10355236242079535,0.19088744787873482,0.3581656101561992,9.968409344635794e-39,0.9496567505720824,0.700228832951945
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.7,7,2622,0.5095986038394416,0.8447749809305873,0.8104500381388253,2,0.5216284987277354,0.7584214771574448,0.39558283024829943,66,0.3783715012722646,0.9767353165522502,1.0610687022900764,0.1329641271266777,0.20104463201469663,0.3485422895283888,1.1831529052841827e-36,0.9496567505720824,0.700228832951945
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.7,8,2622,0.5095986038394416,0.8562166285278413,0.8268497330282227,2,0.5216284987277354,0.7726783249347237,0.41954797186049986,66,0.3783715012722646,0.9912280701754386,1.0687022900763359,0.11336459944452759,0.18886445866256615,0.36530262089938664,2.56543272150687e-40,0.9496567505720824,0.700228832951945
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.7,9,2622,0.5095986038394416,0.8585049580472921,0.8215102974828375,2,0.5470737913486005,0.7717760980558466,0.3744948361023799,66,0.35292620865139956,0.984744469870328,1.0508905852417303,0.10317816694107673,0.18052944970661877,0.33762101925006593,2.283347940253932e-34,0.9496567505720824,0.700228832951945
resnet50_erm,waterbirds,erm,0,kept,0.3,APS,marginal_split,0.1,0.95,0.6,0,2622,0.5095986038394416,0.8180778032036613,0.7974828375286042,2,0.5248091603053435,0.7715325130702155,0.41419973423087,66,0.3751908396946565,0.998093058733791,1.0400763358778626,0.08773291172391062,0.18853328880598585,0.3512487356188009,1.4930071378408525e-46,0.9496567505720824,0.6003051106025934
