dataset,representation,ft_seed,head,backbone,calibration,score,alpha,rho_cal,rho_test,split_seed,n_eval,worst_group_acc,base_top1,marginal_cov,worst_group,worst_group_cov,mean_group_cov,cov_range,cov_gap,n_cal_worst_group,mean_set_size,worst_group_set_size,set_size_disparity,div_wasserstein1,div_ks_stat,div_ks_pvalue,rho_cal_realized,rho_test_realized
waterbirds,erm,0,erm,ft_erm,mondrian,APS,0.1,0.95,0.95,0,2622,0.49214659685863876,0.9347826086956522,0.897025171624714,1,0.8787878787878788,0.9099123767798467,0.09090909090909094,0.021212121212121238,66,0.9946605644546148,1.5,1.0363636363636364,0.15837005067251678,0.295596813202447,1.7768203751762224e-05,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,APS,0.1,0.95,0.95,1,2622,0.49214659685863876,0.954233409610984,0.8996948893974066,1,0.7727272727272727,0.8682730923694779,0.13972252646951444,0.12727272727272732,66,0.973302822273074,1.1818181818181819,0.8754289886820007,0.10161851361895344,0.1850192061459667,0.021150198585958357,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,APS,0.1,0.95,0.95,2,2622,0.49214659685863876,0.9427917620137299,0.8993135011441648,0,0.8987951807228916,0.9039430449069004,0.01029572836801751,0.001204819277108471,1245,0.9900839054157132,0.9188755020080321,0.9144578313253011,0.04462290868019251,0.0737590886421503,0.0015170189053139588,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,APS,0.1,0.95,0.95,3,2622,0.49214659685863876,0.9309687261632341,0.8859649122807017,3,0.8819277108433735,0.9148503103322381,0.08776925885359621,0.01807228915662651,1245,0.9919908466819222,0.9951807228915662,1.0158086893026654,0.007126763366011137,0.026126291659010772,0.7496570116029478,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,APS,0.1,0.95,0.95,4,2622,0.49214659685863876,0.9431731502669718,0.8951182303585049,3,0.8771084337349397,0.8981471339905075,0.04713399050748446,0.02289156626506028,1245,0.986651411136537,0.957429718875502,0.9270901788974077,0.01835758517481336,0.03850696905268131,0.27725037373583883,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,APS,0.1,0.95,0.95,5,2622,0.49214659685863876,0.9435545385202135,0.9107551487414187,3,0.9092369477911647,0.9207283680175247,0.03015699160277474,-0.009236947791164685,1245,0.9954233409610984,0.9855421686746988,1.0092734574662288,0.009213495152728318,0.02676326219912329,0.7229432950627855,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,APS,0.1,0.95,0.95,6,2622,0.49214659685863876,0.9374523264683448,0.8913043478260869,3,0.8875502008032129,0.8997261774370208,0.0366922234392113,0.012449799196787126,1245,0.979023646071701,0.9718875502008032,0.9806863818912013,0.009691832002216624,0.03369644153957879,0.4350668675864764,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,APS,0.1,0.95,0.95,7,2622,0.49214659685863876,0.9378337147215866,0.88558352402746,2,0.8484848484848485,0.8931270536692224,0.10606060606060608,0.051515151515151514,66,0.982837528604119,1.7575757575757576,0.8435195326761592,0.17904212229097297,0.36936264048940104,2.2347015484919483e-08,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,APS,0.1,0.95,0.95,8,2622,0.49214659685863876,0.9347826086956522,0.8954996186117468,1,0.8484848484848485,0.880412559328222,0.06878422782037241,0.051515151515151514,66,0.9820747520976354,1.1818181818181819,0.904709748083242,0.12171430745649119,0.24494949494949494,0.0006944167290592904,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,mondrian,APS,0.1,0.95,0.95,9,2622,0.49214659685863876,0.9481311975591151,0.898932112890923,1,0.8636363636363636,0.8893939393939394,0.05122307411464033,0.036363636363636376,66,0.9874141876430206,1.5454545454545454,0.93442862358525,0.16528780072560315,0.2924669227486129,2.2763438179592042e-05,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,RAPS,0.1,0.95,0.95,0,2622,0.49214659685863876,0.9347826086956522,0.9004576659038902,1,0.6363636363636364,0.7754107338444687,0.2953632712668858,0.26363636363636367,66,0.9801678108314263,1.0,0.18765972982840462,0.1614312969379884,0.29520557689571775,1.83299005741439e-05,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,RAPS,0.1,0.95,0.95,1,2622,0.49214659685863876,0.954233409610984,0.9042715484363082,2,0.5606060606060606,0.7917670682730923,0.367907995618839,0.33939393939393947,66,0.9641495041952708,1.0303030303030303,0.1877692588535963,0.21478537595511538,0.3835538483425807,5.110656006779544e-09,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,RAPS,0.1,0.95,0.95,2,2622,0.49214659685863876,0.9427917620137299,0.9073226544622426,2,0.5151515151515151,0.7754381161007667,0.423001095290252,0.3848484848484849,66,0.9774980930587338,1.0757575757575757,0.11591821832785687,0.20315545169929355,0.4245980936121781,4.98084191786832e-11,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,RAPS,0.1,0.95,0.95,3,2622,0.49214659685863876,0.9309687261632341,0.88558352402746,2,0.5454545454545454,0.767579408543264,0.3702081051478642,0.3545454545454546,66,0.9736842105263158,1.106060606060606,0.16308871851040518,0.18467601636161834,0.3602575046237018,5.570960629626429e-08,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,RAPS,0.1,0.95,0.95,4,2622,0.49214659685863876,0.9431731502669718,0.8996948893974066,2,0.6363636363636364,0.8108798831690398,0.30098576122672505,0.26363636363636367,66,0.9702517162471396,1.0757575757575757,0.1749178532311063,0.18081670282922793,0.3368544600938967,5.18657146774785e-07,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,RAPS,0.1,0.95,0.95,5,2622,0.49214659685863876,0.9435545385202135,0.9118993135011442,2,0.5606060606060606,0.7957831325301205,0.38316903979554584,0.33939393939393947,66,0.9805491990846682,1.121212121212121,0.17009857612267265,0.16832705561242006,0.3772940674349125,9.874195722380415e-09,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,RAPS,0.1,0.95,0.95,6,2622,0.49214659685863876,0.9374523264683448,0.8905415713196033,2,0.48484848484848486,0.748667396860168,0.4420591456736035,0.41515151515151516,66,0.9630053394355453,1.0454545454545454,0.112814895947426,0.21159923221585467,0.43768672641912076,1.0115269129024796e-11,0.9496567505720824,0.9496567505720824
