backbone,dataset,method,train_seed,calibration,score,rho_test,split_seed,worst_group_rerun,worst_group_cov_rerun,cov_g0,n_g0,cov_g1,n_g1,cov_g2,n_g2,cov_g3,n_g3,cov_min_recomputed,argmin_recomputed
resnet50_erm,waterbirds,dfr,0,mondrian,APS,0.95,2,3,0.8883534136546185,0.9228915662650602,1245,0.9242424242424242,66,0.9242424242424242,66,0.8883534136546185,1245,0.8883534136546185,3
resnet50_erm,waterbirds,dfr,0,mondrian,APS,0.95,3,2,0.8181818181818182,0.885140562248996,1245,0.8939393939393939,66,0.8181818181818182,66,0.878714859437751,1245,0.8181818181818182,2
resnet50_erm,waterbirds,dfr,0,mondrian,APS,0.95,4,0,0.9036144578313253,0.9036144578313253,1245,0.9090909090909091,66,0.9848484848484849,66,0.9164658634538153,1245,0.9036144578313253,0
resnet50_erm,waterbirds,dfr,0,mondrian,APS,0.95,5,3,0.8963855421686747,0.9172690763052209,1245,0.9242424242424242,66,0.9545454545454546,66,0.8963855421686747,1245,0.8963855421686747,3
resnet50_erm,waterbirds,dfr,0,mondrian,APS,0.95,6,3,0.8570281124497992,0.8931726907630522,1245,0.9090909090909091,66,0.9090909090909091,66,0.8570281124497992,1245,0.8570281124497992,3
resnet50_erm,waterbirds,dfr,0,mondrian,APS,0.95,7,2,0.8333333333333334,0.921285140562249,1245,0.9393939393939394,66,0.8333333333333334,66,0.8947791164658635,1245,0.8333333333333334,2
resnet50_erm,waterbirds,dfr,0,mondrian,APS,0.95,8,3,0.8819277108433735,0.9180722891566265,1245,0.9090909090909091,66,0.9242424242424242,66,0.8819277108433735,1245,0.8819277108433735,3
resnet50_erm,waterbirds,dfr,0,mondrian,APS,0.95,9,0,0.8706827309236947,0.8706827309236947,1245,0.8787878787878788,66,0.9848484848484849,66,0.9068273092369478,1245,0.8706827309236947,0
resnet50_erm,waterbirds,dfr,1,marginal_split,APS,0.95,0,3,0.8827309236947791,0.8883534136546185,1245,0.8939393939393939,66,0.9393939393939394,66,0.8827309236947791,1245,0.8827309236947791,3
resnet50_erm,waterbirds,dfr,1,marginal_split,APS,0.95,1,2,0.8484848484848485,0.9044176706827309,1245,0.9090909090909091,66,0.8484848484848485,66,0.9004016064257028,1245,0.8484848484848485,2
resnet50_erm,waterbirds,dfr,1,marginal_split,APS,0.95,2,2,0.8939393939393939,0.9172690763052209,1245,0.9090909090909091,66,0.8939393939393939,66,0.9004016064257028,1245,0.8939393939393939,2
