backbone,dataset,method,train_seed,condition,score,alpha,rho_cal,rho_test,split_seed,probe_auroc,worst_group_acc,gate_status,gate_floor,worst_group_cov,worst_group_set_size,marg_cov,mean_set_size
resnet50_erm,waterbirds,erm,1,b_pred_test,APS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.303030303030303,0.902745995423341,1.2665903890160184
resnet50_erm,waterbirds,erm,1,c_pred_both,APS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8181818181818182,1.2878787878787878,0.8939740655987796,1.276506483600305
resnet50_erm,waterbirds,erm,1,a_true,APS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7878787878787878,1.2727272727272727,0.9004576659038902,1.0122044241037376
resnet50_erm,waterbirds,erm,1,b_pred_test,APS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7575757575757576,1.2878787878787878,0.906559877955759,1.0122044241037376
resnet50_erm,waterbirds,erm,1,c_pred_both,APS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.303030303030303,0.8890160183066361,1.2536231884057971
resnet50_erm,waterbirds,erm,1,a_true,APS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8843373493975903,1.0538152610441767,0.8939740655987796,1.1910755148741419
resnet50_erm,waterbirds,erm,1,b_pred_test,APS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.2575757575757576,0.9031273836765827,1.1876430205949657
resnet50_erm,waterbirds,erm,1,c_pred_both,APS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.2878787878787878,0.8951182303585049,1.3543096872616323
resnet50_erm,waterbirds,erm,1,a_true,APS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8746987951807229,1.0690763052208836,0.889397406559878,1.1216628527841344
resnet50_erm,waterbirds,erm,1,b_pred_test,APS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.3333333333333333,0.9012204424103738,1.1270022883295194
resnet50_erm,waterbirds,erm,1,c_pred_both,APS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.3333333333333333,0.8867276887871853,1.3485888634630054
resnet50_erm,waterbirds,erm,1,a_true,APS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.9004016064257028,1.0706827309236948,0.9080854309687262,1.353165522501907
resnet50_erm,waterbirds,erm,1,b_pred_test,APS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.9090909090909091,1.393939393939394,0.9214340198321892,1.3596491228070176
resnet50_erm,waterbirds,erm,1,c_pred_both,APS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.8554216867469879,1.0289156626506024,0.8871090770404272,1.297482837528604
resnet50_erm,waterbirds,erm,1,a_true,APS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.9036144578313253,1.0602409638554218,0.910373760488177,1.284134248665141
resnet50_erm,waterbirds,erm,1,b_pred_test,APS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.9164658634538153,1.478714859437751,0.9210526315789473,1.2784134248665142
resnet50_erm,waterbirds,erm,1,c_pred_both,APS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.891566265060241,1.0401606425702812,0.8981693363844394,1.3066361556064072
